"","text"
"246","enak sih    daharga rp"
"247","ok"
"248","sy   sellu avlikasi toa setiaa gantian  ko susah msuk lemot"
"249","  notifikasi iklan cahayaaaaa woooy"
"250"," kode ayaran    barang    bayar"
"251"," i tokoa    redengan sistem ayarannya   ual sistem sei   memuaskan tks"
"252","mantakoa number one"
"253","good"
"254","yahh    i o unistall"
"255","mantaabb"
"256","aibet udah bayar  dicancel ama tokoa uang refund gabisa diambil cuih"
"257","jos"
"258","siip"
"259","aasi terbodoh terdudul  dunia  donwload aodoh  woy ga berguna ga  beli a beli token listrik  ga  audul bodoh"
"260"," ruweett"
"261","hooddd"
"262","gratis ongkir voucher   h"
"263"," transaksi ok tocetidak ribet  keluhan cs sigamberi solusi knya  aasi "
"264","ok mantap "
"265","ayolah tambahin biar   voucher"
"266","samsaat   teta "
"267","ijin   kena wallet dana g  jadikan salah  alat byar  tokoa"
"268","  esional  menangani  eli   han  jasa kurir   merugikan eli  mbahan biaya   transaksi tetaelayanan   buruk"
"269","mantakoknya mah"
"270","manta"
"271","kenaah   order udah  bayar kenada notif   nanmu   batalkan  otomatis   mohon solusinya"
"272","bagus"
"273","mantappp"
"274","terimakasih tokoa  gopay"
"275"," mbujuk tok kalo o  ongkir nya bayar biar dacashback  transaksi selesai gak dacashback    iriman  invoice nya  keterangan   dacashback pas barang    klik selesai gak dacashback"
"276"," bagus"
"277"," haraelalu   o     menarik "
"278","togoga masuk udah comn  disuruh nunggu x jam    saldonya  ga "
"279","nice very fast and easy"
"280","okr"
"281"," ah bayar cc  toksumngeselin banget bayar ga telat taadi telat samiteln nyesel banget ditarik gabisa nyangkut ga  dananya ga masuk"
"282"," membantu sy disaat membutuhkan "
"283","makasih tokoa  saldo   membantu  beli barang "
"284","terimakasih tokoa"
"285","bosen ue mulu ni aasi     hapus"
"286","keren"
"287"," h  dikenakan biaya layanan  free ongkirtidak otomatis  wajib h  free ongkir  cash back"
"288"," membantu "
"289","ok"
"290","mantap"
"291","bayar i gotaudah  dagratis ongkir  kurir manacashback     kena biaya layanan   alasan aagi yg     bertahan  aoini"
