"","text"
"975","mantakali mudah  cepat"
"976","belanja tis semoga totambah sukses"
"977","     taok nggak ad bokep"
"978","payah voucher diskon  gratis ongkir gabisa digabung hadeh"
"979","fitur gratis ongkir  kucashbackdiskon    digabung  aengan tokoa  seinya   memulikanmematikan orangorang   u jawa   sayangkan    tetamberikan bintang  samtokoa membereskan kekacauan   salam hangat  warga  u jawa"
"980","mudah  semoga  menyulitkan  deya"
"981","balikin toksei  kecewa berat   tokdari      kecewa gini  kugratis ongkir   h  kudiskon gk kaya  yg  gratis ongkir  kudiskon balikin  dah  tokyg  sumkecewa"
"982","ok"
"983","sanggat membantu ok "
"984","good job"
"985","casback  ongkir ngga   gabung  "
"986"," kedemalah buruk belanja  gratis ongkir sdh  berguna"
"987","belanja nya udah  bayar via alfamart eh   cancel by system tok bayar sesuai nomer resi tok  gak dabarang   belanjaan saldo  yg  cukuat ngejar uk yg    ceklist hilang o susah belanja i saldo direfund by rekening bank ribet aturannya"
"988","keren"
"989","mantap"
"990"," ama kali i atoko a"
"991","belanja  mudah"
"992","tokoa anying elian gagal  vocernya langsung angus"
"993",""
"994","dimudahkan banget i tokbanyak han ayarannya thanks tokped"
"995","terimakasih   membantu kebutuhan yg mendesak"
"996","dichat  diingbilang barang ready  dicheckout beli  diesseller ngechat kalo barang kosongminta dibatalkan alhasil keng deh biaya layanan  batal bakul wibu"
"997","cakek nyangka dromo  gak sadar sy   saldo mksh yokoa"
"998","mmh                                          π    παβ"
"999"," mudah "
"1000","lumayan  aasinya"
"1001","aoblok asu mneh"
"1002","barang hilang    komn udah x jam kerja dana  gak   tokoa  kesini  males belanja  tokoa"
"1003"," membantu  elian t erja"
"1004","bagus"
"1005"," gw kasih rating  semenjak kebijakan  maaf gw   tera gw turunin nya balikin kebijakan sei   i tokudah bertahun     kecewa"
"1006","kalo  toko a i sial dakurir anterajaa yanv lelet mbokyo   h kurir lainya buang aja anteraja  toko a"
"1007","mantap"
"1008","good service"
"1009"," menarik lg"
"1010"," membantu"
"1011","   berlangganan plus   i dobel voucher gratis ongkir  cashbackdiskon taernyata  aja"
"1012","mudah  ceesnyais the best  terimakasih tokoa "
"1013","bagus"
"1014","yosha katta"
"1015","udh bayar  indomaret kena ngan  eh   refund  k toktagn harga ngan tdk include  h"
"1016"," nanya     kasih bintang     gak kayak  skrang t  ohong  ngasih diskon vc nggak dacashback nya "
"1017","tokoa terbaik"
"1018","ga  aasi nya  bug nya"
"1019"," diskon"
"1020","saran  kembalikan  fitur su damenggunakan gratis ongkir  diskon  cashback  elian     kritikal agi    biaya layanan    winwin solution"
"1021","kacau cashback  ilangin"
"1022","ok"
"1023","  ah refund tiket wat  tokgak ya masak refund  februari  udah  november  gini belom   refund  janjinya ng lambat   kerja   udah   rsah kalo hamil dah siahiran aja  astaghfirullahnyesel banget order tiket wat  tok  balikin  bintang  kalo november  refund tiketnya nya  terima sesuai ketentuan"
"1024"," kesini  kesini  bagus  buruk kebijakan nya nih tokurang berguna banget  cuman  i  voucher sih kalah  aain    nya  belanja jga dicek   batal h nih togak "
"1025","ketentuan  toyg membatasi gratis ongkir  voucher diskon  dadigabung sungguh  bikin hagunanya   thn sy beralih  tokrn  menarik dgn diskoncashback gratisongkirnya takrng dgn ketentuan   sy r   belanja imbangan sy     aasi oreng   lazada"
"1026","konyol"
"1027","muantapp"
"1028","aasi yg    bertanggung "
"1029","   t mending shoopee"
"1030","keren udh  n gofood"
"1031","mantap"
"1032","tokoa mantab"
"1033","ok"
"1034","coba  aturan   t batal otomatiskalo estimasi  habissaya  tokoa  exsi  nangis bangkrut  tlo   komn gak  urusin"
"1035","cs samaasi sampah"
"1036"," ribet aja"
"1037","terimkasih"
"1038","tetaakan metode ayaran saldo tokoa yaa"
"1039","  notif iklan ganggu uninstall ganggu bngd anjir"
"1040",""
"1041","mantap"
"1042","  tokoa   blm  free ongkirdan samsekarang dlu  orange muncul  gonta ganti aetelah fitur  tokoa  free ongkir   sdh g ah i orange   ahir   kenaitur free ongkirnya dihilangkan ganti  model langganan  sei menutulan u setiaang i aokoa   tokoa  masuk  jalur khusus  dafree ongkir semestinya k devorus mengkaji ulang kebijakn tsb"
"1043","the only one"
"1044","belanja beberaali ditokoa       memuaskan dimana nan    terkendala  iriman tolong diaiki  tosemakin kesini  buruk ga"
"1045","udah bagus banget   udah  teratasi  atu tinggal bug kalo hafavorit  gk   halaman "
"1046","  shodan tokoa  samasama  kekurangan  kelebihannya  tetaekurangan    sistem ayaran  cod cash on delivery  susah  membayar  sistem cod   menu   ditentukan sei  indomaret  alfamart   biayanya  mahal ongkos kirimnya  biaya admin nya hamseh  harga barang    melihatlihat  ketimbang berbelanja     mudah kenaidak"
"1047"," gratis ongkir  voucer ga  digabung"
"1048","bayar godibalikin  dananya  udh gt keng admin  blnjaanya ga jd admin mah ttng"
"1049","manta"
"1050","toko yg amanah   jujur dgn ak"
"1051","memudah  memenuhi kebutuhan yg tdk mengharuskan   rumah"
"1052"," i ue  menarik"
"1053",""
"1054","  uk gratis    udh x nyoba uk gratisnya  akun   suami tallu dibatalkan   k tokya tau gitu  o vouchernya mending  belanja "
"1055"," mudah  nyaman"
"1056","ok mqntap"
"1057","ok"
"1058","mantaf lh"
"1059","kenaaktu menginstal    kenaula  agk   instal"
"1060"," membantu"
"1061","tokoa  bgt muncul   download  dies   nyebelin bgt lelet  toko lainya gak ah sni trus sistem kranjangnya terbatas bgt  yg  aja unlimited  h  tokped"
"1062","aman  cepat"
"1063","beli barang total an udah  ongkir  i diskon  udah i asuransi taernyata dateng barang rusak udah komn seller  menanggaefund barang ganti alhasil  batalkan otomatis  kenaang    doang  kesalahan seller   tokdi comn  gak  rugi alesannya k diskon    ckckckck gini  ya nyari duwit si tokmana gak  hitung  an         sisanya kemana"
"1064","   bahagia senangnya nikmati cinta bersyukur enjoy santai ceria naknya damai gembira  ihklas  ka yaaaa alkhamdulilah"
"1065","mantul"
"1066",""
"1067","   hvocher cashback  kecilkena biaya layananvocher cashback  gratis ongkir   dii bersamaaanudah  males belanja "
"1068","manisss"
"1069"," membantu eli"
"1070","gmna cerita nye  udah bikin akun  tokoa  suruh email gak kyk  nih aasi"
"1071","mantul"
"1072","user xence totch"
"1073","refund dana   tanggal  november  samtanggal  november    keian   tunda tunda"
"1074","good agi sistem coinnya gak t"
"1075","tokoa torkotop"
"1076","oke"
"1077","bang  bug verifikasi"
"1078","keren"
"1079","mudah  cepat"
"1080","mudah"
"1081","jual rokok  blok hadeehhhh  bossssss"
"1082","keren"
"1083","mantap"
"1084"," aruan  klik  menu     layar "
"1085","tetatia  si oren"
"1086","transaksi gagal dana goterng  suruh menunggu    jam uang uang siai tahan"
"1087","mantab"
"1088","o    gabung  diskon   enak belanja  tokoa ongkir mahal     beralih  aasi belanja online yg  selamat tingal tokoa"
"1089","gembel  dibatalin nan nya  rru  tidac ramah"
"1090","mengaembayaran indodana  aikan      belanja    i indodana tolong   aiki   memakai ayaran indodana"
"1091","promo   scam  udah bayar   batalin"
"1092","mao beli barang a gagal melulu"
"1093","erooooorrr"
"1094",""
"1095","   dongkalau uma aasinya  halalu  masuk  akun   ah wishlist    terima kasih"
"1096","keren dah tokoa"
"1097","lancar jaya harga meriah"
"1098"," tokoa tolong  nyediakan tukar  h wilayah keuan riautanjung pinang  en tukar  tokoa  damelayani  daerah sayajadi tolong ertian nya"
"1099","aasi terllu bnyak animasi slide  beratanimasi slide bikin simaja akses  ce fungsi tools sdh bgus mo buka gambar aja  stg mati dibandingkan dg hotojauh lbih lemot  th llu an enteng  sll  tount all transaksi skg in nmor  am sorry"
"1100"," tokoa mantasemoga nggak lemot "
"1101","payah ngak  cod  daerah aan"
"1102","tolong  temen temen costumer atikan   t  aasinya su driver mengantar t samedayinstan sesuai titik   driver  mengalami    nganter gak sesuai titik gak teliti  nombok bensin terimakasih salam cerdas"
"1103","  biaya tambahan   metode ayaran bikin r ulang deh kalo kaya gini bikin malas belanja nya "
"1104","uhhh kecewa  ongkir ya mahal"
"1105"," tokaffiliate  sarankan    akses  pc   memudahkan"
"1106","mantap"
"1107","bertahun  i tokoa    kecewa  tokoa "
"1108","assalamualaikum  suka  belanja online   barang   ori"
"1109","  gk  bagusonya  gk jelasdan siaaa ditinggal ama customer"
"1110"," bagus"
"1111","kecewa  tokoa komn      gk selesai buangbuang   aomn klo ujungujungnya dibatalkan  mending  diemin aja"
"1112","nyoba belanja  ecomers  aaaaaah semoga nggak kecewa"
"1113","plislah tokdata  bocor   kalinya gara a akun  aasi   why"
"1114","tokoa  enak aasi nya  ngelag kaya olshong       asik kalo  orang ayoo  kembaliin kenyamanan  didakonsumen"
"1115","   toped  harga  kantong gratis ongkir transaksi mudah tuuuuch yaaaa   tambahin bintangnya sukses   toped"
"1116"," senang  bangga   tosetiambelanjaan dgn tosell  nyaman    dilindungi dimn tobelum  ayaran  ual  barang blm   bebas ongkir  selamat  toselalu menjd yg terdetingkatkan  yanan"
"1117","  melaan bug  misi mendaan energi telur  arian tokoa card   berfungsi   aila  ketik  search   tokoa card    cari larinya  domimkartu alat tong id card dll   ukaan akun tokoa card yg  tetaika  klik saran arian tokoa card  lari  ukaan akun tokoa card   tya tetadak daenergi telur"
"1118","hamsemua situs belanja onlinkebanyakan cari keuntungandari ual barang  dauntuk  situs belanja onlinterus  biaya iriman  dinaikanhal   dicek biaya iriman klo adi  kirim barang  murah  lion el  pos coba  situs onlin  bandingin  tujuan  berat   i mahal  sitis belanja onlinal situs belanja onlin  sifatnya irim  berlangganan rutin    diskon harga"
"1119","pindah  toko orange kesini karna  dafree ongkircashback nya  eh   ga  digabungin free ongkir  cashback nya   deh me toko orange  toko orange maskh  dafree ongkircashback"
"1120","sya   ranting       ulasan  d elian skil akademy mbiar kartu erja  dad slesaikan"
"1121","klaim asuransi ribet uma  ect asuransi"
"1122","knkarang gk bs buka ulasan ya sy udh uetolong  aiki system nya  tokoa"
"1123"," kecewa  toksekarang voucher diskoncashback    digabungin sm gratis ongkir tolong sistem nya dikembalikan s sblm nya"
"1124","     payah"
"1125","antareja  kalimantan  kg r  bug ta"
"1126"," daftar aja susahnya  amserver gagal     kalah  sebelahhhhhhh"
"1127"," inikok  gk   o gratis ongkir sih    belanja  power badge  official storemohon bantuan seceya"
"1128","tokoa mantuuuuuoooooouuuul"
"1129","mantagus"
"1130"," gk  i ngan harga   kecewa"
"1131","keren dah"
"1132","kebijakan   biaya layanan u sucks"
"1133","mudah  bertransaksi"
"1134","cb  gratis ongkir g  i bersamaan ga kayak  "
"1135","gak nyaman  irimanmember  customer serasa dibeda   maaf  bintang  drontang "
"1136","semoga aasi   amanah  maju "
"1137","tokoa      layanan siceyang layanan kirimnya  buruk cs  resue kiriman  informatif"
"1138","tokopedia    penjualhati hati  pembeli akses komplan  tokopedia sulit sekalisudah dilaporkan    kendalakecewa  pelayanan  komplain  tokopedia   komn  ual sulit krn tokoa menyediakan sisa  terbatas  elijd ual      mereskomn   sisa   eli mereskalau tdk direscedana  langsung diserahkan  ualini curang"
"1139","mantap"
"1140","server eror mulu  daftar  ga   tinggal masukin nama lengkaalah server eror"
"1141","penggunaan  cash back gak   jd gk manfaat"
"1142","aasi skarang tokoa     jelek  doang bagus  bukti gk  gitu aoba"
"1143","menu transfer  bank dimana sue"
"1144",""
"1145","mantap"
"1146","langsung  hakarna ayarannya     cod"
"1147","kenaemua voucher yg    "
"1148"," kecewa  tokoa  voucher diskon  gratis ongkir gak   bersamaan"
"1149","bagus banget  belanja  dekorasi kamar   "
"1150","mantap"
"1151","mantap"
"1152","ect"
"1153","oke"
"1154","kecewa ama toskrg gak  gratis ongkirvocer cashbackongkir  mahal takasih   dah ngsih cashback"
"1155","mantab"
"1156","good"
"1157",""
"1158"," bagus  teraya"
"1159"," bayar bulanan indiehome  masuk h ayaran loading terusss   mencoba nya beberaali  tetema hedehh"
"1160"," kali     transaksi transfer tai notifikasi   transaksi ah uang   "
"1161","kecewa  gratis ongkir  voucher diskon  cashback   dii  bersamaan   bubarkan  tokoa"
"1162"," liat  utk   deada kendala agk"
"1163","payah kebayakan ing salah dmn nya yah    bayar  bank terbayarkan  tokmasih menunggu yaran aja"
"1164","mantap"
"1165"," bagus"
"1166","tokoa keren pertahankan bosqu"
"1167","  ritas   "
"1168","gila gilaskrng biaya cod nya udh  ajhmrbbgi sy  gede krn sy bkn orng kyaongkir kena   ts blanja rb dlwkt bln  blnja rb skrng rb"
"1169","tis and simple"
"1170","ok"
"1171","tamabha kesinih tamabah lelet aasi "
"1172"," kemarin gak  lihat ulasan gangguan rumah mulu gak "
"1173","omg"
"1174","  menginstal tuh"
"1175",""
"1176"," gak  daftar aasi kon tol"
"1177","mantananganan admin nya"
"1178"," yg lbh mahal dri tmlanja online yg lainya"
"1179","mantap"
"1180","gila  transaksi saldo gotiba hilang cok deh"
"1181","  down mulu bang"
"1182"," membantu "
"1183","tokoa ok"
"1184","sistem osinya menjebak"
"1185","tokoa  mantap"
"1186","  bilang terimakasih ajasudah  membantu   belanja  santai  u repot ya  tokopedia"
"1187","   semangat  tugas "
"1188","harga ongkir   masuk akal masak berat uk  gram ongkir nya samrb    jawasumatera itujuga   h exsi  biaya admin ditambah ongkir   digabung  chasback  blunder  tokped"
"1189","senang aja belanja mudah  kendala  gan"
"1190","maaf bintang sy turunkan krn skrg klo h  tdk dashback ataudiskon   si memilih   cashback   mendaftar jd  mesti membayar   sy sdh membayar   tambahan lg sy order  brg d temyg berbed   notif klo sy diberhentikan dr  pdhl tdk  ag disangkakan hadeh bintang sy turunkan dl samerselesaikan msalah ni"
"1191","promo gak  digabungin"
"1192","menyenangkan  tis   kemudahan ayaran"
"1193"," ikutan aja kasih rating biar rame"
"1194","seharian  gk  buka tokhal jg  diue koneksi timeout tka yg  lancar      nan jd gk  buka h"
"1195","kenakarang tokgak  kirim poto  video ulasan  kesana  kesini"
"1196","bagus tokoa h tanggung  dgn eli  nggan shog nya"
"1197"," memuaskan  damemudah   belanja online"
"1198","cmeweww knya"
"1199","sayang banget nih tokoa gak  login via whatsana nomor hdah hilang   verifikasi kode  ganti nomor ribet "
"1200","ok"
"1201","terimakasih tokoa"
"1202"," membantu berbelanja  mudah"
"1203","terimakasih  yanan  "
"1204","toktidak membantu klaim barang hilang  uk   hilang"
"1205","good job"
"1206","ok"
"1207","pantesan kalah saing  shoppe"
"1208","mantapss"
"1209","tokmantul diskonnya"
"1210","gak  login  menerima sms verifikasi"
"1211","   download"
"1212","kenaekarang gratis ongkir  cashback   "
"1213","gratis ongkir  voucher ga    bersamaan"
"1214","kebijakannya  ga bikin  ngganudah  biaya trx langganan  hilang  dgn alasan   resale diluar kaian adihadehhhh"
"1215","ongkir wilayah a mahal   mahal dri i toko oren sm biru"
"1216","pindah  toko oren soe toksemoga toktaniaya yanan sei toko oren  transaksi  toko oren kena biaya nganan  bayar  saldo  paylater "
"1217","oce deh"
"1218"," sangatttt"
"1219","toko online teraya terbaik ternyaman  aman the best k nya "
"1220","bagus"
"1221","ok"
"1222","fast track"
"1223","mantap"
"1224","mantap"
"1225","keren"
"1226","wewcicil a x lgsg skses"
"1227",""
"1228","o diskon  gratis ongkir   kalah  oren"
"1229","flashsale nya ti  link   barang nya udh habis permainan orang   mending ga u d  flashsale  real  dahikmahnya doang"
"1230","samkrg  dadiaya"
"1231"," amakali i ani  davoucher ngan dii gabisa hadehhh kalo gamau rugi  ni"
"1232","mantap"
"1233","cashback   i taidak dacasbacknya mending ah toko oren"
"1234","langganan  iriman instannya    arian driver samiriman  sam jam  jarak    km   ritaskan    "
"1235","good"
"1236","minimal order rb  mendaan gratis ongkir berat berat ditambahan  voucher cashback  gratis ongkir gabisa  gabung  biaya jasa aasi udah  tokoa cocoknya   fanatik suka tokoa  rela bayar kebijakan kebijakan lucunya    shoeeeee"
"1237","wokehh"
"1238","  krn cod  slogan doang"
"1239","bagus"
"1240","sehabis  ue  nge klik ulasan dll mesti download  download   es  coba ulang tetaa ga   aasi    berat  "
"1241","      rekomend  toko ijo   dimana voucher cash back  voucher free ongkir    i bersamaan     diaiki maaf    berng  mu"
"1242","jajan"
"1243","   aja nyaman kemarin belanja  tokoa    susah  o yg  misah misah  kalo belanja  o gogk   gabung  metode ayaran  kalo  kenaih tokente udah  bagus  merusak   siaih yg  rule bikin ribet gini t aja wainya  direkturnya  kalo bego gini kenyamanan keamanan ndasmu "
"1244","good res"
"1245",""
"1246","mantap"
"1247","tolong kasih menu laian jasa kurirnyasaya  kasih minus seh bintang"
"1248","tokoa isinya kebanyakan seller abalnakal hararhatihati  teliti berbelanja  tokoa   seller jual uk liquid bercukai   komn tai bela sm team resolusi tokoa   yg salah seller nya karna jual uk kadaluarsa"
"1249","terimakasih  tokoalantaran jualan via tokoa   bikin kontrakan  ualhamdulillah ya allah"
"1250","blm    kredit bntuanya  admin"
"1251","sim"
"1252","kecewa   tokyang  haln   k vouker gratis ongkir  castback  bersamaan taekarang ga  mengecewakan"
"1253","kenaalau i siceharga total barang berbeda  aasi ya   x i siceselisih n   dlu nda gtu   aasi   tnya  mohon diaiki  sistemnya"
"1254","ude"
"1255"," kecewa  to pelayanannya buruk ekssinya buruk  buruk   menyelesaikan  lemot barang   terima samsaat    kabar barang  hilang uang  dikembalikan tobilang k wahana  bertanggungjawab totidak  bertanggungjawab  maunya aih   baca  ulasan  toga   bagus    to"
"1256","tokoa aneh  beli traktiran     ru  dibatalkan  sistem    jelasunistal aja "
"1257","pelit"
"1258","bagus"
"1259"," t        t gak gerakiriman jne regulersaya  bayar cashbarang gak tau   manaini barang   jt lohsangat mengecawakan k ekssi  tokini"
"1260"," cari barang  mudah"
"1261","goater  acc limit tersedia tinjd ngga  diingga  solusi  jalan keluarnya"
"1262","klaim barang rusak   setujui  kabelanja  tokoa  udah kirim foto  video  email   tuju  tetaidak  setujui  kapokkapokbelanja  tokped "
"1263","mudah  aman"
"1264","ngeselinknk  i go bersamaan dg onyesel sy i "
"1265"," kesini  kesono gak    bareng vocer"
"1266","belanja  hemat"
"1267","barang gak sesuai  tamn  aasi"
"1268","barang  minggu gak samumah  kurir salah kirim taenaonsumen yg  nanggung  tunggu kenaang nya  dikembalikan kecewa berat  yanan tojauh beda  yanan sopi"
"1269","bismillah"
"1270","memuaskan makasih tokoa"
"1271","mantap"
"1272","tokoa h o nggak dikurangi taggak  gratis ongkir mengunakan o  aja "
"1273","keren later nya thank u tp"
"1274","kenaak  ud gambar diruang chat"
"1275",""
"1276","oke"
"1277","udah make tobertahuntahun  uk  negeri trena kebijakan voucher terbaru  siaerh  to"
"1278","halo kk     coba beli  ani takayaknya kualitas barang nya  bagus   langsung kasih  bintang   makasih "
"1279","aelanja online ringan yg  diandalkan  bayar kebutuhan sehari "
"1280"," membantu"
"1281","biar rajin belanja cash back gonya digedeintrs"
"1282","goooooooodd bangeuuut"
"1283","    semoga membntu"
"1284","mantap"
"1285","good onlineshop"
"1286"," toko pedia tolong kasih penalti  toko  bikin berat barang  sesuai  deskriberat   kg trangnya diser tolong    driver aring daberat barang  sesuai"
"1287"," gak   voucer   h gratis ongkir  voucher ngan gk efektif kecewa  yg  langganan "
"1288","aasi   membantu  seller taangat disayangkan  kekurangannya utk meng ud foto  setiaoduct max   foto beda dgn orange  sammax    max  infoelasan uct  calon buyer   lg kwalitas  exsi     tdk smakin bagus   buruk  tdk esional"
"1289"," voucher cashback  voucher ongkir    yuk  ah  online shoin biar goto bangkrut  "
"1290"," o ongkir  cashback"
"1291","tokoa  keren cees nya ga  ribet"
"1292","payah t"
"1293",""
"1294","jozz"
"1295","tolong  aikannya     ngirim foto  ulasan gak  "
"1296"," membantu"
"1297","  ama kali dwonload nnti   kasih bintang  nya  aasi bagus  makasih "
"1298","seneng banget belanja gam"
"1299","trima kasih semoga jam tanganya awet"
"1300"," ue kenauka hadiahchat    download file  ujungnya gagal yahaduhhhh  make tokotuh   tokadatolong diaiki dunk"
"1301","bye bye tokbelanja  kalimantan voucher tongkir   belanja syulit ah  mbelah dah"
"1302"," bug verifikasi  daduit darj batalin t"
"1303","belanja  tokoa dijamin gak nyesel"
"1304","  jarang belanja  tokkarena    gratis ongkirobiaya nya mahalsetelah sekian  berlangganan samadi inummungkin tokjd han terakhirskrg   belanja  shokrn ongkirnya ringanbye tokped"
"1305","  aasi "
"1306","mantap"
"1307","jelek"
"1308","membantu"
"1309"," ceesnya"
"1310","tolong  es investigasi barang hilang     kecewa kurir mengantar  temyg salah   bertanggung    status elian  aaai selesai    menerima barang     butuh urgent masker  kebutuhan i  temumum  berujung  beli  minimarket    minggu   ad ress  tokoa"
"1311","kecewa cashback  gratis ongkirnya  milih gk  digabung"
"1312","vocher diskon    o    gak      daftar"
"1313","terima kasih"
"1314","ok"
"1315","aasi nya bagus   memuaskan terimakasih tokoa"
"1316"," turun doooonk ratingnya ongkir yg ga  deskribarang  gram  ing  tembus kisaran k jakarta sidoarjo cashback hilang    da bertahun make tokped"
"1317","simedbd"
"1318",""
"1319","parah h h gak  solusi aelek error gak  aikan sambener da nih app"
"1320","mata bangeettt"
"1321","gratis ongkirnya sulit  daan"
"1322","cukungesankan"
"1323","bagus"
"1324","aasi   membantu  mudah  berbelanja"
"1325","gratis ongkir  cashback     bersamaan semoga  enahan  memudah belanja"
"1326","sy una  trs  mnggunakn o tlu gagal s o tagihan dn to"
"1327","lumayan oye"
"1328","good"
"1329","kunya    gabung  gratis ongkir  cashbak   januari nyoba donlod  buka tokoa   casbak nya     toko ofisialstor  ha ha ha ha  ya    haapk    sungan kalo        o    uninstal"
"1330","nice"
"1331","oke gan"
"1332"," turunin  bintangnya ya kecewa  yan cs nya"
"1333","pencarian nggak kayak    ngaco arian nggak akurat aturan   gratis ongkir masuk  voucher  nggak  i voucher cashback  diskon  h  bebas ongkir sebebasnya   namanya nggak bebas"
"1334","bagus"
"1335","mudah  terya"
"1336","kog   bebas ongkir lagii "
"1337","guys   pake apk tokopediaa fitur  orang kantor nya kacauu kerjanya  lambatsaya jualan ditopedia barang  diterima pembelitapi dana saldo nya udh seminggu  ga cair"
"1338","mantap"
"1339"," membatu "
"1340","tdk bs  gratis ongkir  o scr bersamaan jd o toko  o event dirasa jd ga efektif  krn hrs memilih salah   gratis ongkir  o  jd mengurangi elian online kl  hrg murah trak  ongkirnya mahal"
"1341","yuk normal  yuk tingkatkan ualan seller yaa"
"1342","orang niat dagang benerbener   moderasi gajelas nih ecommerce sum   sumgak ngerti gw tujuannya aadahal gada tindakan scra   loh aneh   kena moderasi  banget selesai bikin  senang gitu    dagang  udah foto udah bikin video semalaman ngud uk   moderasi sakit hati  sumbisabisanya  gituin tolong   kali  ngatan   kontak si sellernya  worst ecommerce ever"
"1343","kebijakan yg terkesan gegabah  k tokoa bebas ongkir   minimal belanja  ribu   digabungkan  voucher cashback atauvoucher ngan harga  ditambah   biaya aasi  era a emi sei  mayoritas orang cenderung  berhemat    wajar  kebijakan sei  terkesan gegabah   adi    bertahaulai   belanja beberaarang ing   cukubulan  "
"1344","puas   tokoa belanja murah  o menarikdan es cedan mudah acc   knya tokoa  membantu    besssssssst"
"1345","  bagus  miriya aasi  orange berlogo s  ah gak   bagus banget dacashback diluar  bebas ongkir aangan   tokoa  bangkrut    memaya sahaan kembalikan kebijakan  kemarin h  "
"1346","belanja murah"
"1347","aplikasi lemot  bergunaternyata gini ya apps buatan anak lokal"
"1348","  pegguna  taelum a  dikecewakan tokoapertama   order nol ru taenaibatalkankeduasaya belanja  tgl  yg   dachasback     ribu coin gotaetelah pesanan selesai coin gakmasukmana ongkir nya mahal  gimana  langganan tokoa kasayainget   lazada yg gratis ongkir nya nyata  gang yg belanja   onlinedan sdh  pelanggan lazada   "
"1349"," memudah belanja  rumah"
"1350","  belanja  tokovedia"
"1351","semoga  berlangganan teruss "
"1352","ok"
"1353","gratis ongkir   syaratnya elian minimal  i ayaran    kenaak murni gratis ongkir  taustahil sih"
"1354","voucher  cashback   dii tokoa  sei bukalakan jatuh"
"1355","mantul"
"1356","lokal"
"1357","ayaran  errorlama loadingnya sekalinya "
"1358","barang bagus harga   mahal taualitas nya bagus "
"1359","  kasi bintang  karna emang bagus banget tokoa trg berubah  kesini  menjengkelkan transaksi   dibatalin   kn  merugikan  voucherx   dii bersamaan beda dg tokyg  mending haajaa aasi  dregini"
"1360","mantap"
"1361","good"
"1362","kebijakan    aharui toksaat    membebankan penjual  ngan biaya       buyerdibebankan biaya admin  voucher     ganda "
"1363","alhamdulillah  udah angkat kaki  tokopedia terimakasih kasih udah bantu      terimakasih   mengajarkan  angkat kaki  tokopedia semoga   cepet nyusul pindah    hati amin ya robbal alamin"
"1364","aasinya  beratt lemottt"
"1365","toko a mudah  belanja"
"1366","beralih  tetangga sebelah semoga  gratis ongkir"
"1367","jujur   aasi terbaik yg ah gua i   tamn  aasinya terbilang ribet   menu yg gak ing banget ding  branda  aasinya dibuka  ngelag  crush  bug mohon  dev tokoa aasi tolong dikurangi menu dibranda yg gak ing banget tujuan   belanja  et menu yg   tolong kurangi  ambil t ingnya aja sei lazada yg  ringan   lag  dii"
"1368","tokoa ok  gratis ongkirnya  murah"
"1369","mantap"
"1370","mantaguz"
"1371","abelanja yg ng amanresif gercenurut  sellernya bertanggung jawabada feed back   kendala  sei asbelah yg sellernya ska bermaslahitem barang  dikirim  sesuaikurang"
"1372","sho sho"
"1373","mntaapp"
"1374","yanan belanja online terbaik"
"1375","  menarik uang  transaksi  dibatalkan  dibawah angka   woii jan bikin  stress"
"1376"," ngelag  jaringan bagus"
"1377","lancar"
"1378","bagus"
"1379"," kasih bintang   gak   gratis ongkirvoucher  bersukurlah tolol"
"1380","tokoa tolong  bank bca digital blu by bca  terdeteksi  han  bank     memudahkan metode ayaran "
"1381","bebas ongkir  gak  digabung voucher diskon payah"
"1382","aduh min gimana si inisaya udh beli  bayar    jugataalah  batalkan  sistemgimana inijadi hilang promo  sayakenaengan tokkecewa "
"1383","nyoba "
"1384","ribet  aturan casbeknya ga   i"
"1385","parah voucher    digabungkan"
"1386"," nanya    oke   biar bintang aja sih  kasih tau kean  "
"1387"," ue skr aasinya  stuck tolong   bebas ongkir  cashback dikembalikan sei kebijakan sebelumnyatrims"
"1388","cashback  gratis ongkir gak  digabungin  h salahsatu pilih gratis ongkir aashback ya h ah markete  sho terimakasih tokoa    bersamamu gudbayyyy"
"1389","mohon  dihabiaya transaksi  gabungan voucher gratis ongkir  cashback  ngan dikembalikan "
"1390","bagusmudah  mengerti   mi"
"1391","seru banget  disinkron sm gojek  goater  taame hasil koin nya dikit bgt  kenaengguna android   dlm menemukan uk"
"1392","mantab"
"1393","keren knya mah"
"1394",""
"1395","aasinya  ngelag udah  u    gak karuan"
"1396","onya setiari   bebas ongkir sipp"
"1397","aneh ual yg salah kirim  sesuai deskribarang dikembalikan eli rugi ongkos kirim teknik saran aasi mengganggu   install harga murah sdh diinstall harga    dikerjai  tetangecewakan sdh ah order barang harga jutaan  stok sdh habis  teta osikan   order     saran beli barang yg  ragukan kwalitasnya krn sdh ah i uk yg  menyebalkan"
"1398","mantarimakasih"
"1399","kenaidak   instal"
"1400","gak  cod  belanja  bingung karna gak  atm mending belanja  toko sebelalah gak ribet  cod"
"1401","voucher cashback gak   i bersaaan free ongkir"
"1402","bye bgt cashback gabisa  kalo  free ong good bye tokped"
"1403","mantul"
"1404","jelek"
"1405","lbh mudah belanja tingal klik dr rmh g ush rekluar  harga nya lbh murah murahmksh"
"1406","bagus"
"1407","buruk order bener  dibatalin sistem  taii bener toklo g  ngasih o bilang aja mna duit   taii bangke lo"
"1408","iriman  gratis ongkir nya anteraja     biaya yg      sicemohon sicedikembalikan  voucher ongkir  cashback     i kecewa h"
"1409","ok "
"1410","  mengikuti"
